,DATA,NOM ESTACIO,hora,NO2,SO2
4532,2022-01-01,Montcada i Reixac,01h,27.0,2.0
4533,2022-01-01,Montcada i Reixac,02h,33.0,1.0
4534,2022-01-01,Montcada i Reixac,03h,27.0,1.0
4535,2022-01-01,Montcada i Reixac,04h,25.0,1.0
4536,2022-01-01,Montcada i Reixac,05h,22.0,1.0
4537,2022-01-01,Montcada i Reixac,06h,18.0,1.0
4538,2022-01-01,Montcada i Reixac,07h,15.0,1.0
4539,2022-01-01,Montcada i Reixac,08h,17.0,1.0
4540,2022-01-01,Montcada i Reixac,09h,15.0,1.0
4541,2022-01-01,Montcada i Reixac,10h,16.0,1.0
4542,2022-01-01,Montcada i Reixac,11h,22.0,1.0
4543,2022-01-01,Montcada i Reixac,12h,50.0,1.0
4544,2022-01-01,Montcada i Reixac,13h,55.0,1.0
4545,2022-01-01,Montcada i Reixac,14h,34.0,1.0
4546,2022-01-01,Montcada i Reixac,15h,34.0,5.0
4547,2022-01-01,Montcada i Reixac,16h,35.0,6.0
4548,2022-01-01,Montcada i Reixac,17h,36.0,5.0
4549,2022-01-01,Montcada i Reixac,18h,42.0,2.0
4550,2022-01-01,Montcada i Reixac,19h,54.0,1.0
4551,2022-01-01,Montcada i Reixac,20h,33.0,1.0
4552,2022-01-01,Montcada i Reixac,21h,40.0,1.0
4553,2022-01-01,Montcada i Reixac,22h,40.0,1.0
4554,2022-01-01,Montcada i Reixac,23h,27.0,1.0
4555,2022-01-01,Montcada i Reixac,24h,26.0,1.0
4556,2022-01-01,Rubí,01h,31.0,1.0
4557,2022-01-01,Rubí,02h,26.0,1.0
4558,2022-01-01,Rubí,03h,24.0,1.0
4559,2022-01-01,Rubí,04h,22.0,1.0
4560,2022-01-01,Rubí,05h,18.0,1.0
4561,2022-01-01,Rubí,06h,17.0,1.0
4562,2022-01-01,Rubí,07h,16.0,1.0
4563,2022-01-01,Rubí,08h,17.0,1.0
4564,2022-01-01,Rubí,09h,15.0,1.0
4565,2022-01-01,Rubí,10h,15.0,1.0
4566,2022-01-01,Rubí,11h,31.0,1.0
4567,2022-01-01,Rubí,12h,9.0,1.0
4568,2022-01-01,Rubí,13h,8.0,2.0
4569,2022-01-01,Rubí,14h,11.0,3.0
4570,2022-01-01,Rubí,15h,18.0,3.0
4571,2022-01-01,Rubí,16h,18.0,2.0
4572,2022-01-01,Rubí,17h,15.0,1.0
4573,2022-01-01,Rubí,18h,21.0,1.0
4574,2022-01-01,Rubí,19h,27.0,1.0
4575,2022-01-01,Rubí,20h,34.0,1.0
4576,2022-01-01,Rubí,21h,42.0,1.0
4577,2022-01-01,Rubí,22h,53.0,1.0
4578,2022-01-01,Rubí,23h,46.0,1.0
4579,2022-01-01,Rubí,24h,43.0,1.0
4628,2022-01-01,Santa Perpètua de Mogoda,01h,26.0,1.0
4629,2022-01-01,Santa Perpètua de Mogoda,02h,23.0,1.0
4630,2022-01-01,Santa Perpètua de Mogoda,03h,22.0,1.0
4631,2022-01-01,Santa Perpètua de Mogoda,04h,24.0,1.0
4632,2022-01-01,Santa Perpètua de Mogoda,05h,20.0,1.0
4633,2022-01-01,Santa Perpètua de Mogoda,06h,16.0,1.0
4634,2022-01-01,Santa Perpètua de Mogoda,07h,19.0,1.0
