Codi Municipi Ine,Nom_municipi,Comarca,Any,Densitat població,Densitat població urbana,Evolució població,Sòl urbà ordenat / habitant,Sòl urbà ordenat d’activitat econòmica / habitant,Sòl urbà ordenat residencial / habitant,Zona verda urbana / habitant,Sistema equipaments urbans / habitant,Tipologia teixits urbans residencials,Regeneració urbana,Ocupació mitjana habitatges,% sòl artificialitzat,% sòl residencial o d’activitat econòmica en sòl urbanitzable delimitat,Ús dominant sòl urbanitzable delimitat,% sòl residencial o d’activitat econòmica en sòl urbà no ordenat,Ús dominant sòl urbà no ordenat,Densitat habitatges sòl urbanitzable,Potencial habitatges sectors ja urbanitzats,Potencial habitatges previstos sòl urbà no ordenat,Potencial habitatges previstos sòl urbanitzable delimitat,Increment habitatges sòl urbà no ordenat/ existents,Increment habitatges sòl urbanitzable delimitat/ existents,Increment habitatges sòl urbà no ordenat/ 100 habitants,Increment habitatges sòl urbanitzable delimitat/ 100 hab,Potencial sostre sòl urbanitzable delimitat,Potencial sostre sòl urbà no ordenat,Potencial sostre sectors ja urbanitzats,Creixement urbà,Nous habitatges per any,Densitat habitatges sòl urbà no ordenat,Potencial de creixement urbà,Edificacions espais oberts,Sol·licituds en sòl no urbanitzable aprovades,Sol·licituds en sòl no urbanitzable denegades,Antiguitat figures planejament municipal,Figura planejament municipal,Noves figures planejament general per any,Expedients planejament derivat per any,Autoritzacions en domini públic anuals,Densitat xarxa viària / km2,Densitat xarxa viària /  habitant,Densitat xarxa ferroviària / km2,Densitat xarxa ferroviària / habitant
08011,Avià,Berguedà,2022,82.16173519,44.57075497,1.728058208,224.3623651,21.0683604,91.30975381,82.38936254,25.50626945,0.9058078014,70.17142329,1.859517872,4.421616239,100,R,44.07214797,R,44.18365872,66,284.4056952,480,24.00048061,40.50632911,12.93341042,21.82810368,0,18002.60068,8145.564573,0,18,18.32305109,12.71970201,30.87088262,1,0,11,Pla d'ordenació urbanística municipal,,,,0.4048027119,4.926900716,,
08012,Avinyó,Bages,2022,35.90078418,19.80448044,-0.6999125109,504.9362457,132.3435341,124.4123464,99.95065038,51.69055503,0.4670144171,6.354036051,1.980802792,2.940838649,60.96047327,AE,88.23841156,AE,29.10860969,0,62.03075459,439,5.412805811,38.30715532,2.713506325,19.20384952,90435.31709,16340.72831,898.3398393,0,0,72.41507874,31.68999229,8.699668304,1,0,9,Pla d'ordenació urbanística municipal,,,,0.4600306824,12.81394523,,
08013,Avinyonet del Penedès,Alt Penedès,2022,58.5692647,15.19042629,0.2939447384,658.3093728,42.17464875,366.4097846,84.88923445,46.29042016,2.797430501,2.869212102,1.784518828,6.119967142,50.78836928,R,100,R,22.0757403,15,149,353,15.58577406,36.92468619,8.759553204,20.75249853,45204.89248,0,33302.21307,0.203270916,0,46.23965117,25.11270107,9.773635996,2,0,17,Pla d'ordenació urbanística municipal,,,,0.4989106573,8.518301534,0.0835078869,1.425797086
08014,Aiguafreda,Vallès Oriental,2022,323.8381872,24.85017101,-0.1564945227,402.4117177,26.23882027,235.7226637,37.05803238,21.50339556,1.30254725,,1.89037037,15.78441958,100,R,100,R,6.00086775,0,445,117,32.96296296,8.666666667,17.41001565,4.577464789,0,0,0,7.882020207,0,27.85587614,0,18.89937193,0,0,1,Pla d'ordenació urbanística municipal,,,,0.0436712938,0.1348552935,,
08015,Badalona,Barcelonès,2022,10552.0741,176.6956836,0.2242092141,56.59447811,5.577802669,16.55634837,8.842575423,8.251899078,0.1570788528,2.396506619,2.309065551,67.12377003,64.11480692,R,72.15337801,R,19.14877486,778,3207,268.0671595,3.32876627,0.2782453754,1.438077899,0.1202062543,25073.18738,68229.94346,41694.70219,1.056232946,453,121.0639339,1.993492457,67.95471665,0,0,46,Pla general metropolità,,3,11,1.670850173,0.1583432942,0.5197654654,0.0492571849
08016,Bagà,Berguedà,2022,50.20649107,62.39369256,1.025641026,160.2726107,4.005788289,56.87454325,25.51653062,27.51124921,0.0884127952,13.57299406,1.191313909,2.406755766,76.26997429,R,73.46611572,R,24.43503538,72,236,504,12.98844249,27.73802972,11.002331,23.4965035,22461.05843,0,0,0,2,68.14453665,68.55997756,6.097318367,1,0,39,Normes subsidiàries del planejament,,,,0.3812323454,7.593287986,,
08017,Balenyà,Osona,2022,227.2457413,38.83882,1.230769231,257.4743517,81.4064956,71.51203632,20.62828559,15.35466755,0.3037972119,,2.310122879,8.40812402,73.83362975,R,,-,24.02519305,0,,367,,21.48711944,,9.41025641,33564.49604,0,0,0,1,,27.50618991,34.56780371,0,0,22,Normes subsidiàries del planejament,,,,0.727025943,3.199294028,0.1340389135,0.589841256
08018,Balsareny,Bages,2022,88.02102495,23.70168711,-0.884685784,421.9108941,144.6398042,129.7985788,52.53014669,29.66610696,0.0366231428,1.420292623,1.827334083,6.331025058,100,R,0,-,24.99635564,0,,122,,6.877113867,,3.721781574,0,0,0,41.91202154,4,,3.510652358,19.04334347,1,0,29,Pla general d'ordenació,,,,0.823425055,9.354867834,,
08019,Barcelona,Barcelonès,2022,16113.81198,194.7155728,-0.0329314756,51.35696061,3.366871851,14.83534124,8.465270834,6.023757227,0.0790810835,1.32600297,1.984486205,84.50561482,0,-,67.13697261,R,,2273,11146,,1.355217514,,0.6809911458,,0,760235.9122,228436.2768,0,2041,141.9169108,0,36.12057786,0,0,46,Pla general metropolità,,1,2,0.5556672709,0.0344839118,1.731275208,0.1074404499
08020,Begues,Baix Llobregat,2022,147.7104345,23.25449306,1.277868407,430.0244248,5.067388083,271.8727202,36.48276354,23.36195074,6.332424639,1.33223956,2.425130208,7.635990926,100,R,100,R,11.90041935,0,48,484,1.571709234,15.84806811,0.6525285481,6.57966286,0,0,0,2.644739205,18,14.50279658,12.45289908,7.91110959,0,0,25,Pla general d'ordenació,,,,0.2364094063,1.600492254,,
08001,Abrera,Baix Llobregat,2022,636.8578495,53.37900151,0.6101426307,187.3395852,60.1825703,61.52124029,31.09060782,20.209806,7.117230875,11.07804512,2.348252266,35.35114692,78.23100022,AE,49.58206384,R,30.593039,314,278,638,5.163447251,11.84992571,2.202852615,5.055467512,104921.9859,26392.15405,104921.9859,0,23,21.27854311,142.6445939,26.31270058,0,0,34,Pla general d'ordenació,,,,1.273135848,1.999089513,0.192817759,0.3027642027
08002,Aguilar de Segarra,Bages,2022,6.625235923,35.04035188,0.3496503497,285.385262,,133.3671229,58.38876137,33.0026671,0.709263221,87.91085658,1.708333333,2.242292996,100,R,100,R,6.591774148,0,82,10,48.80952381,5.952380952,28.67132867,3.496503497,0,0,0,0,0,11.38827387,9.856718893,8.733879091,0,1,17,Pla d'ordenació urbanística municipal,,,,0.6420898229,96.91576728,0.1739995726,26.26315117
08003,Alella,Maresme,2022,1051.572308,33.27732826,1.255776572,300.504894,10.16763168,188.9892061,31.23033649,14.96378248,8.357859755,3.540650832,2.533048505,37.29240412,54.5494506,R,50.98952689,R,30.02292777,3,219.697206,333.4052707,5.54231095,8.410829232,2.207124835,3.349460224,29450.64639,10687.27847,521.6329165,0,15,40.17829363,6.491561173,49.68369687,0,0,8,Pla d'ordenació urbanística municipal,,3,,0.8646657429,0.8222599017,,
08004,Alpens,Osona,2022,20.36647595,10.79868248,4.460966543,926.0388961,,615.1483175,52.62912131,92.17155324,2.273359187,,1.124,2.3443361,0,-,,-,,0,,,,,,,0,0,0,0,0,,0,4.808188405,0,0,26,Normes subsidiàries del planejament,,,,0.591131915,29.02475208,,
08005,l'Ametlla del Vallès,Vallès Oriental,2022,633.2754507,19.36240139,2.651644475,516.464864,15.20568341,309.1498807,79.08876155,30.72186385,14.9280959,6.309222713,2.525195969,42.62128833,83.3418338,R,56.61948711,R,20.41369588,426,509,494,14.40294284,13.97849462,5.79264823,5.621941504,21766.1672,0,0,2.157044023,38,30.58642189,16.29947173,85.68209784,1,0,35,Pla general d'ordenació,,2,,0.9012076666,1.423089535,,
08006,Arenys de Mar,Maresme,2022,2394.398256,59.17571254,1.336093338,168.9882482,13.89863279,62.34873956,20.51213223,15.66547452,1.218758441,0.5944616538,1.861389561,59.98695671,96.43617371,R,56.57532436,AE,25.88689846,129,63,1298,0.7304347826,15.04927536,0.3951825367,8.142014804,1074.729631,1836.303069,0,3.045148475,54,89.39570517,18.93290103,141.0043243,1,0,8,Pla d'ordenació urbanística municipal,,1,,2.026358159,0.8462911939,0.5571859588,0.2327039612
08007,Arenys de Munt,Maresme,2022,435.6939844,42.01187152,0.9465781743,238.0279582,13.6839114,131.9574914,33.30860184,17.85696693,3.055437831,4.657147197,2.101472254,15.56608106,65.88542458,R,94.90277324,R,15.7215424,19,517,465,11.72335601,10.54421769,5.625068001,5.059297139,83143.12346,0,0,0,5,52.96748293,38.4883385,66.96903387,1,0,19,Pla general d'ordenació,,,,0.7486937553,1.718393602,,
08008,Argençola,Anoia,2022,4.587639609,37.2919715,-1.818181818,268.1542326,5.25524501,158.0468511,17.95069543,12.52403496,0.3572301526,6.255642569,1.333333333,0.9415599484,0,-,100,R,,0,11,,6.790123457,,5,,0,0,0,0,0,30.35864274,0,9.653351034,0,0,7,Normes de planejament urbanístic,,,,0.4949414829,107.8858683,,
08009,Argentona,Maresme,2022,501.8575116,32.73949805,0.9185208647,305.4414575,27.50621874,150.6789787,35.82740534,20.48005204,4.429115639,0.5924025154,2.290206649,19.77697642,100,R,13.06381643,R,27.37230278,0,195,400,3.530689842,7.242440703,1.544065247,3.167313326,0,0,0,0,42,48.95801597,3.723000291,45.91600019,0,0,1,Pla d'ordenació urbanística municipal,,,,1.355455805,2.700877786,,
